,PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,Unnamed: 8
8073,LS20601118,06/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/03/2020,25.0,0.0,
8074,LS20601118,06/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/03/2020,25.0,0.0,
8075,LS20601129,06/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/03/2020,0.0,0.0,
8076,LS2060113A,06/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/03/2020,25.0,0.0,
8077,LS21702868,06/03/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/03/2020,25.0,0.0,
8078,LS21702868,06/03/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,09/03/2020,25.0,0.0,
8079,LS21702879,06/03/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,24/03/2020,0.0,0.0,
8080,LS2170288A,06/03/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/03/2020,25.0,0.0,
8081,LS22800705,06/03/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,06/03/2020,0.0,0.0,
8082,LS22800716,06/03/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,06/03/2020,25.0,0.0,
8083,LS22800716,06/03/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,20/03/2020,25.0,0.0,
8084,LS22800716,06/03/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,23/03/2020,25.0,0.0,
8085,LS22800727,06/03/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,06/03/2020,25.0,50.0,
8086,LS2280075A,06/03/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,11/03/2020,25.0,0.0,
8087,LS22800760,06/03/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,06/03/2020,25.0,0.0,
8088,LS22800760,06/03/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,09/03/2020,25.0,0.0,
8089,LS22800793,06/03/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,06/03/2020,25.0,0.0,
8090,LS22800807,06/03/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,06/03/2020,25.0,0.0,
8091,LS22800818,06/03/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,06/03/2020,0.0,0.0,
8092,LS22800818,06/03/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,24/03/2020,0.0,0.0,
8093,LS22800829,06/03/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,13/03/2020,25.0,0.0,
8094,LS23501233,06/03/2020,HOLT PARK CP - HOLT PARK                                    ,87 IN DISABLED BAY WITHOUT BADGE,70,06/03/2020,35.0,0.0,
8095,LS23501233,06/03/2020,HOLT PARK CP - HOLT PARK                                    ,87 IN DISABLED BAY WITHOUT BADGE,70,09/03/2020,35.0,0.0,
8096,LS23703828,06/03/2020,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,06/03/2020,0.0,0.0,
